date,pm2_5_mean,pm10_mean,co_mean,dust_mean,temperature_mean,humidity_mean,wind_speed_mean,wind_direction_mean,precipitation_sum,pressure_mean,hours_count
2023-01-01,28.041666666666668,40.375,1588.5833333333333,0.0,21.095833333333335,72.20833333333333,4.2250000000000005,190.5,0.0,981.3791666666666,24
2023-01-02,28.200000000000003,40.56666666666667,1792.6666666666667,0.0,20.641666666666666,66.95833333333333,4.529166666666667,261.0,0.0,981.9166666666666,24
2023-01-03,21.95,31.558333333333334,1381.875,0.0,20.2375,68.375,4.645833333333333,249.08333333333334,0.0,981.9250000000001,24
2023-01-04,26.1875,37.62916666666667,1475.75,0.0,21.504166666666666,72.625,4.379166666666666,259.75,0.0,981.25,24
2023-01-05,24.454166666666666,35.0625,1562.8333333333333,0.0,22.583333333333332,70.29166666666667,3.9875000000000003,252.375,0.0,980.8625000000001,24
2023-01-06,16.158333333333335,23.166666666666668,1001.2083333333334,0.0,22.212500000000002,62.041666666666664,6.354166666666667,230.25,0.0,981.7666666666668,24
2023-01-07,16.104166666666668,23.016666666666666,856.6666666666666,0.0,20.820833333333333,52.666666666666664,8.7875,237.08333333333334,0.0,980.6083333333332,24
2023-01-08,24.1375,34.520833333333336,1491.4166666666667,0.0,19.441666666666666,64.0,4.683333333333334,237.16666666666666,0.0,979.5500000000001,24
2023-01-09,28.145833333333332,40.266666666666666,1714.5833333333333,0.0,20.8625,65.08333333333333,4.220833333333333,219.83333333333334,0.0,979.775,24
2023-01-10,28.929166666666664,41.420833333333334,1678.125,0.0,22.508333333333336,65.95833333333333,3.9125,219.95833333333334,0.0,978.0500000000001,24
2023-01-11,32.25416666666667,46.17083333333333,1631.2083333333333,0.0,23.108333333333334,68.83333333333333,4.5249999999999995,189.70833333333334,0.8,976.1875,24
2023-01-12,23.4875,33.67916666666667,1088.0416666666667,0.0,22.558333333333334,70.70833333333333,5.154166666666667,231.95833333333334,0.0,975.225,24
2023-01-13,25.816666666666666,36.96666666666667,1632.9166666666667,0.0,21.412499999999998,64.375,4.425,230.04166666666666,0.0,976.0124999999999,24
2023-01-14,27.004166666666666,38.63333333333333,1686.9166666666667,0.0,20.829166666666666,62.708333333333336,3.8958333333333335,249.375,0.0,974.7041666666668,24
2023-01-15,30.75,44.04583333333333,1910.375,0.25,21.47083333333333,55.833333333333336,3.4499999999999997,223.54166666666666,0.0,974.8458333333333,24
2023-01-16,28.650000000000002,41.025,1595.5833333333333,0.0,20.875,56.166666666666664,4.0,251.04166666666666,0.0,976.2791666666667,24
2023-01-17,26.441666666666666,37.887499999999996,1188.0416666666667,0.0,21.545833333333334,64.95833333333333,4.8999999999999995,236.125,0.0,977.7416666666667,24
2023-01-18,30.383333333333336,43.550000000000004,1210.5416666666667,0.0,22.537499999999998,69.83333333333333,5.345833333333334,227.83333333333334,0.0,979.4041666666667,24
